Province,Farm_ID,c1_Soil_pH,c2_CaCO3,c3_OM,c4_K2O,c5_Sand,c6_Clay,c7_Nitrogen,c8_Phosphorous,c9_Potassium,c10_SowingRate,Y_GrainYield
Province_08,Farm_36,8.41,28.45,1.94,,,25.12,1.45,7.16,21.07,297.68,4403.35
Province_08,Farm_37,6.14,16.29,2.26,,,28.01,25.11,28.97,,169.11,2563.21
Province_09,Farm_1,,0.77,2.35,214.78,63.18,32.63,3.4,,6.41,284.38,4713.94
Province_09,Farm_2,8.23,19.79,2.84,,37.03,35.6,12.98,7.08,17.37,226.29,3030.73
Province_09,Farm_3,6.88,24.82,,388.44,22.7,,8.61,5.66,8.84,275.79,4399.43
Province_09,Farm_4,7.06,13.88,0.73,92.37,78.44,11.64,15.37,,,143.91,3278.49
Province_09,Farm_5,7.22,18.2,1.66,,25.29,30.33,16.49,46.05,12.6,202.29,4027.12
Province_09,Farm_6,8.35,11.84,,197.4,72.47,38.03,23.44,28.13,8.94,266.82,5275.57
Province_09,Farm_7,,17.48,3.59,59.72,77.33,37.86,2.93,30.2,17.76,202.75,3260.67
Province_09,Farm_8,7.03,28.32,3.34,166.3,52.77,20.31,18.18,,18.27,294.14,4314.88
Province_09,Farm_9,8.37,12.74,2.89,61.29,46.88,21.64,30.23,15.87,16.41,164.11,3695.02
Province_09,Farm_10,8.06,8.88,1.21,364.14,71.39,21.07,23.98,8.95,24.33,147.69,3156.56
Province_09,Farm_11,7.67,27.81,1.17,94.49,58.12,38.03,27.06,44.62,2.11,101.79,3717.92
Province_09,Farm_12,6.29,15.76,2.93,290.34,23.25,22.67,49.74,25.45,6.29,204.36,4341.85
Province_09,Farm_13,8.06,25.29,1.03,385.45,45.02,28.29,3.24,8.26,11.82,167.59,4449.4
Province_09,Farm_14,,28.41,3.49,111.81,,33.19,49.03,48.1,13.45,279.34,3461.87
Province_09,Farm_15,8.35,13.06,3.89,122.52,33.32,39.45,30.24,9.22,15.99,264.53,4436.81
Province_09,Farm_16,6.48,7.2,3.63,209.35,75.82,33.35,26.85,1.25,20.46,,3876.81
Province_09,Farm_17,6.62,10.2,0.52,128.84,,,42.89,4.8,11.37,,3620.78
Province_09,Farm_18,6.95,3.13,,396.87,64.93,27.4,25.14,0.6,20.8,243.82,3683.68
Province_09,Farm_19,7.32,17.35,3.08,178.79,25.46,39.87,41.12,48.22,10.62,250.69,4042.47
Province_09,Farm_20,6.61,12.02,3.12,351.71,62.79,39.89,36.14,24.28,21.29,269.66,4691.8
Province_09,Farm_21,7.93,8.35,1.82,93.12,78.52,33.98,42.63,7.45,16.77,166.81,3328.71
Province_09,Farm_22,6.66,29.44,1.03,323.95,35.99,20.43,49.87,4.55,17.65,119.24,3565.63
Province_09,Farm_23,8.14,,1.52,69.74,71.68,40.27,6.95,41.27,17.33,107.69,4161.31
Province_09,Farm_24,7.26,4.82,1.75,373.07,59.64,27.43,0.29,44.69,15.74,127.36,3269.25
Province_09,Farm_25,8.15,2.56,1.98,112.71,34.05,21.34,24.11,41.4,,135.73,3321.67
Province_09,Farm_26,6.96,13.1,0.8,73.55,68.03,42.25,9.64,17.63,1.98,188.28,3754.26
Province_09,Farm_27,6.68,25.68,3.89,142.5,73.22,44.08,1.19,3.29,3.3,225.79,4221.89
Province_09,Farm_28,7.11,14.16,1.2,388.13,41.86,44.6,38.22,22.5,23.26,293.11,4724.38
Province_09,Farm_29,7.81,8.06,1.57,321.89,69.19,11.62,41.57,35.05,21.51,121.58,4225.23
Province_09,Farm_30,8.37,4.67,1.83,221.59,69.05,25.82,11.49,31.98,17.1,160.48,3128.52
Province_09,Farm_31,7.3,12.69,3.17,242.21,75.7,18.49,23.46,42.2,12.18,190.83,4102.01
Province_09,Farm_32,,4.26,2.14,348.62,42.61,48.49,4.23,39.37,4.88,114.53,2399.4
Province_09,Farm_33,7.98,2.63,2.35,119.99,74.25,31.93,31.65,,16.78,,4013.14
Province_09,Farm_34,6.77,3.97,,202.43,,13.67,29.81,6.29,19.56,156.69,3495.02
Province_09,Farm_35,7.01,,3.59,214.38,29.56,15.17,46.2,,12.79,219.69,2847.26
Province_10,Farm_1,,19.11,1.68,179.95,31.08,23.3,42.59,27.85,5.3,172.21,3569.92
Province_10,Farm_2,7.79,24.42,3.65,353.95,56.54,,,14.22,22.76,167.82,3318.15
Province_10,Farm_3,6.25,,3.25,76.66,63.83,29.12,,22.07,16.0,241.38,3416.63
Province_10,Farm_4,6.42,28.34,1.66,208.88,52.91,12.92,47.91,27.46,19.64,258.56,4522.23
Province_10,Farm_5,7.36,17.02,1.68,,42.25,13.37,45.55,14.44,22.71,258.49,4443.91
Province_10,Farm_6,7.84,2.14,0.66,185.76,39.44,30.35,31.98,6.76,1.32,180.26,3307.5
Province_10,Farm_7,7.84,4.32,1.29,252.01,53.57,34.83,34.41,0.2,4.66,235.85,4231.17
Province_10,Farm_8,7.3,9.19,,65.21,79.05,21.11,6.17,,13.37,129.57,3679.47
Province_10,Farm_9,,4.98,2.71,54.84,44.37,43.13,42.61,33.67,10.3,185.37,4506.57
Province_10,Farm_10,6.1,2.83,3.53,249.79,20.64,26.89,41.31,20.77,18.55,,4175.59
Province_10,Farm_11,6.33,4.22,3.52,334.56,51.12,33.24,41.41,19.32,14.63,257.75,3855.56
Province_10,Farm_12,7.04,0.84,2.04,211.73,70.93,24.64,,31.66,,145.36,3868.74
Province_10,Farm_13,8.44,16.13,,377.01,23.39,48.2,1.47,39.74,23.09,279.72,3709.08
Province_10,Farm_14,8.05,20.34,0.76,60.19,69.63,24.13,,0.47,,155.32,3359.95
Province_10,Farm_15,8.12,,2.86,395.42,48.16,41.11,37.82,42.24,16.36,168.02,3131.7
Province_10,Farm_16,6.73,11.38,1.63,124.77,42.11,12.09,9.35,34.18,,121.6,3697.0
Province_10,Farm_17,7.57,8.09,2.27,375.0,50.77,45.07,,37.33,2.88,103.12,3373.94
Province_10,Farm_18,8.0,11.74,2.07,151.13,44.3,29.11,41.23,31.73,6.31,147.68,3208.15
Province_10,Farm_19,7.04,5.4,2.0,266.76,30.02,23.21,3.86,16.65,,,3460.1
Province_10,Farm_20,,3.35,3.04,314.58,27.34,39.87,,2.9,,209.2,4205.74
Province_10,Farm_21,6.18,14.71,3.37,336.87,72.35,28.44,12.99,22.66,15.72,170.31,4961.11
Province_10,Farm_22,7.12,16.02,0.86,323.91,22.41,44.97,,33.07,6.24,256.5,4454.96
Province_10,Farm_23,7.04,12.53,,168.04,52.47,18.04,27.41,27.39,5.33,128.81,3828.14
Province_10,Farm_24,8.06,25.09,2.79,329.91,71.15,27.59,34.91,31.75,22.37,158.97,4011.82
Province_10,Farm_25,6.06,15.39,3.71,336.17,77.0,37.46,31.88,22.34,18.79,157.62,3505.61
Province_10,Farm_26,7.38,28.54,2.74,333.73,68.83,45.92,16.36,19.67,4.28,267.34,4267.96
Province_10,Farm_27,8.01,11.8,1.6,326.47,,48.55,19.6,6.82,11.33,254.33,4823.69
Province_10,Farm_28,6.28,26.94,0.62,192.73,35.65,42.8,17.87,6.48,14.21,,3584.49
Province_10,Farm_29,,19.51,2.9,154.91,39.29,,27.91,48.59,2.28,275.41,4107.55
Province_10,Farm_30,6.5,,,365.65,68.43,13.7,,21.93,21.1,123.55,4707.09
Province_11,Farm_1,8.22,25.14,2.47,206.74,39.9,18.23,8.23,20.12,2.53,130.8,4111.83
Province_11,Farm_2,6.79,1.87,1.35,94.0,32.73,22.62,,36.33,12.07,240.43,3930.13
Province_11,Farm_3,6.33,26.0,1.94,,79.52,12.78,25.99,3.98,14.25,196.12,3189.06
Province_11,Farm_4,,6.78,1.18,281.12,,,8.15,13.54,22.97,178.9,4423.54
Province_11,Farm_5,,25.32,1.25,367.49,,,0.89,29.31,,282.23,3988.96
Province_11,Farm_6,6.3,8.55,3.17,127.82,50.77,30.57,33.32,28.27,13.16,150.9,3260.07
Province_11,Farm_7,7.87,3.3,,200.29,55.51,46.05,,45.74,23.02,299.53,4736.96
Province_11,Farm_8,6.83,,3.25,165.52,64.37,17.94,2.27,26.31,1.32,284.45,3583.83
Province_11,Farm_9,7.18,24.86,3.57,196.24,33.97,48.39,35.52,36.88,2.77,116.23,4004.91
Province_11,Farm_10,6.17,10.36,1.81,52.58,24.63,33.52,40.74,,21.77,200.6,4002.49
Province_11,Farm_11,7.7,13.95,0.88,369.92,36.18,46.4,6.6,46.89,23.62,207.5,4973.72
Province_11,Farm_12,7.63,25.43,1.66,289.99,76.45,21.7,9.84,0.12,6.07,200.66,4421.82
Province_11,Farm_13,6.49,7.37,1.08,357.08,31.87,15.03,37.32,31.62,12.88,156.96,4153.62
Province_11,Farm_14,7.3,6.96,1.47,187.14,68.4,11.99,25.88,7.67,14.35,,3319.63
Province_11,Farm_15,,6.1,3.14,188.02,68.2,41.71,33.45,0.75,21.9,282.73,4622.1
Province_11,Farm_16,8.0,,1.48,,41.08,22.22,48.35,16.74,12.49,190.19,3990.84
Province_11,Farm_17,7.22,9.3,,206.41,70.79,45.42,39.03,21.66,18.58,180.13,3790.57
Province_11,Farm_18,8.17,11.7,1.49,110.76,66.3,12.46,38.44,14.21,11.77,283.28,5471.36
Province_11,Farm_19,6.61,5.28,,319.69,47.43,12.38,11.44,22.35,9.83,,3715.99
Province_11,Farm_20,7.8,6.09,2.22,183.91,30.05,46.82,,40.0,6.7,192.05,3365.89
Province_11,Farm_21,8.23,21.63,0.69,204.63,47.43,12.04,30.43,35.25,18.71,,4064.19
Province_11,Farm_22,7.95,8.64,3.34,71.67,29.48,38.75,10.1,,24.14,,3469.11
Province_11,Farm_23,7.58,22.01,0.88,315.74,46.26,,,27.01,19.1,258.55,4432.74
Province_11,Farm_24,7.88,13.75,2.37,120.82,60.32,20.6,43.39,37.15,,127.55,3770.2
Province_11,Farm_25,7.34,14.63,1.39,267.43,,34.3,32.95,29.86,9.68,278.63,4606.22
Province_11,Farm_26,7.76,21.64,1.0,330.67,24.63,,42.61,27.0,23.37,196.54,4145.03
Province_11,Farm_27,6.78,2.43,2.04,121.64,61.15,49.75,18.62,15.14,5.69,155.95,3359.99
Province_11,Farm_28,7.04,22.37,3.91,213.6,25.58,46.59,35.76,44.39,9.44,,3544.88
Province_11,Farm_29,7.64,18.52,,131.07,44.94,18.03,34.0,46.48,3.06,255.31,4060.19
Province_11,Farm_30,7.49,20.39,3.86,132.89,38.9,34.89,6.75,3.83,9.23,173.11,3380.28
Province_11,Farm_31,6.36,6.05,3.14,232.12,32.71,17.16,25.69,38.81,1.85,224.86,3658.42
Province_12,Farm_1,6.94,14.52,3.34,221.32,72.76,44.16,40.35,,23.25,189.27,4047.11
Province_12,Farm_2,8.29,27.21,2.16,167.29,43.19,44.35,2.56,49.92,,261.09,3884.99
Province_12,Farm_3,6.99,13.65,,374.3,32.43,38.96,45.47,4.12,8.47,135.56,3308.03
Province_12,Farm_4,8.24,5.08,2.16,239.85,50.12,12.32,19.42,43.23,6.12,135.64,2688.09
Province_12,Farm_5,7.76,1.85,3.53,302.95,62.56,21.83,45.46,,22.29,213.36,3889.91
Province_12,Farm_6,7.58,14.35,2.59,263.54,32.59,,17.75,20.22,13.12,,4171.26
Province_12,Farm_7,7.08,20.87,1.69,75.83,73.99,11.11,34.41,19.56,21.64,,3056.51
Province_12,Farm_8,6.22,16.95,0.97,274.99,23.1,20.42,,25.22,14.02,236.27,4643.25
Province_12,Farm_9,6.33,5.27,3.61,200.11,37.9,46.45,0.44,13.12,18.22,206.74,4166.98
Province_12,Farm_10,7.65,,1.68,232.25,50.89,28.0,12.39,13.39,10.94,,4122.74
Province_12,Farm_11,,21.88,2.27,222.64,69.78,48.6,29.53,14.45,16.58,279.77,4557.65
Province_12,Farm_12,6.85,7.05,,,56.24,18.53,,24.8,11.31,196.46,3463.33
Province_12,Farm_13,7.77,27.35,2.95,347.05,47.2,39.38,13.6,15.7,13.15,212.21,3285.44
Province_12,Farm_14,,7.03,0.99,,53.05,15.01,45.81,7.41,4.71,169.35,3730.24
Province_12,Farm_15,8.45,13.36,3.97,,22.95,25.47,19.64,2.11,22.56,226.94,4518.69
Province_12,Farm_16,6.76,4.23,3.06,258.81,,10.03,34.18,6.5,20.93,288.21,3800.03
Province_12,Farm_17,6.4,28.47,2.74,,23.7,24.01,27.39,,16.17,,3917.22
Province_12,Farm_18,6.89,17.46,1.43,166.52,54.02,36.46,2.8,40.04,8.02,270.38,4210.1
Province_12,Farm_19,6.88,9.97,1.18,273.55,75.8,16.12,32.65,40.12,,,5279.75
Province_12,Farm_20,7.7,28.08,2.45,119.67,47.59,49.11,13.32,1.82,20.89,101.73,3635.32
Province_12,Farm_21,7.74,,,313.68,56.98,,21.11,20.87,23.23,175.18,4484.72
Province_12,Farm_22,8.21,10.17,1.86,343.03,73.34,42.36,22.02,34.12,17.47,,4566.48
Province_12,Farm_23,,26.65,1.59,71.67,46.16,10.98,46.52,27.91,,248.61,3379.97
Province_12,Farm_24,,3.65,1.23,347.83,55.08,41.65,7.52,43.66,,192.36,3680.19
Province_12,Farm_25,8.25,27.4,0.7,271.21,58.34,27.51,19.33,19.88,18.68,270.72,3654.89
Province_12,Farm_26,6.38,29.63,2.3,278.09,33.44,24.98,4.34,17.77,17.68,166.33,3118.82
Province_12,Farm_27,6.43,22.64,3.92,334.78,48.77,22.65,,25.81,14.19,151.22,3679.57
Province_12,Farm_28,7.58,2.23,1.57,,31.22,30.45,28.37,,,147.43,3859.79
Province_12,Farm_29,7.02,6.68,0.75,132.82,39.12,32.77,37.92,43.32,21.91,284.83,4032.78
Province_12,Farm_30,7.11,14.48,1.29,174.91,71.32,33.78,41.61,37.22,,292.82,4410.56
Province_12,Farm_31,8.32,13.54,1.84,192.65,22.3,43.92,21.81,22.53,9.53,242.18,2776.43
Province_12,Farm_32,6.57,0.41,1.71,362.58,57.17,48.15,,0.76,17.62,203.66,4252.91
Province_12,Farm_33,8.04,0.28,2.92,318.66,39.71,26.99,40.71,8.42,22.23,183.73,3530.24
Province_13,Farm_1,7.37,15.04,1.07,197.57,78.66,14.18,31.96,,10.23,229.53,4113.83
Province_13,Farm_2,7.98,,2.43,85.33,20.72,11.77,45.32,49.58,16.71,101.12,3729.53
Province_13,Farm_3,8.47,22.69,2.05,71.29,79.38,37.02,5.7,28.61,12.85,233.36,3525.98
Province_13,Farm_4,6.32,,3.05,166.09,29.56,25.04,20.58,38.84,,155.84,4292.6
Province_13,Farm_5,6.28,16.35,,318.22,77.03,18.48,37.64,9.46,6.17,249.2,4644.82
Province_13,Farm_6,8.26,12.44,1.86,,39.53,39.19,9.29,34.93,7.95,225.75,3230.65
Province_13,Farm_7,8.01,1.56,1.15,218.91,25.18,41.04,28.99,33.13,5.35,236.08,4803.72
Province_13,Farm_8,6.17,22.45,0.66,,75.1,24.24,7.07,32.32,8.54,156.32,3990.06
Province_13,Farm_9,7.44,5.17,,82.41,60.01,47.23,5.28,23.68,11.52,141.77,3768.58
Province_13,Farm_10,,4.47,0.85,196.32,36.06,12.85,37.1,14.71,22.74,190.1,3064.85
Province_13,Farm_11,7.98,1.42,,,,31.75,20.65,2.1,8.31,201.58,3266.21
Province_13,Farm_12,7.93,12.96,3.81,260.95,41.25,20.47,29.37,26.99,15.53,,3808.53
Province_13,Farm_13,7.13,2.0,2.9,388.68,22.59,32.83,5.62,24.0,,283.25,4977.51
Province_13,Farm_14,8.05,10.44,0.85,213.24,25.55,44.11,45.41,15.59,11.87,229.4,3453.41
Province_13,Farm_15,,14.39,3.18,157.39,42.1,45.83,49.71,9.23,20.7,159.08,3970.86
Province_13,Farm_16,8.49,3.48,3.32,74.88,76.85,35.94,22.06,42.24,13.14,248.65,4639.34
Province_13,Farm_17,7.2,10.31,2.25,238.17,79.84,19.13,4.83,20.82,19.96,114.41,3381.8
Province_13,Farm_18,8.27,13.29,2.66,228.84,70.89,12.18,5.85,41.84,23.82,111.54,3754.47
Province_13,Farm_19,7.67,2.15,1.34,300.66,37.06,45.95,31.21,30.79,19.64,124.13,3631.9
Province_13,Farm_20,7.48,,2.76,,39.51,10.24,19.23,4.99,12.06,,4004.52
Province_13,Farm_21,7.5,2.62,0.78,79.54,70.4,19.38,18.97,14.17,13.86,124.32,3435.91
Province_13,Farm_22,8.16,24.09,1.82,179.19,,14.25,16.67,44.53,21.48,100.77,4339.19
Province_13,Farm_23,6.85,15.96,3.31,108.45,69.91,46.52,49.72,42.3,,198.05,4186.7
Province_13,Farm_24,6.42,23.54,1.86,384.93,79.0,14.71,9.18,,17.36,142.5,3104.75
Province_13,Farm_25,6.02,10.5,1.58,228.03,32.05,34.67,32.59,44.57,11.91,123.15,3457.7
Province_13,Farm_26,6.88,14.44,2.32,296.63,77.22,33.86,22.35,21.04,9.99,,3001.72
Province_13,Farm_27,8.43,8.94,1.54,277.23,49.55,24.36,7.73,25.13,18.74,171.34,3818.0
Province_13,Farm_28,6.3,,1.17,310.85,39.02,,34.98,15.6,5.56,136.75,3594.31
Province_13,Farm_29,6.26,18.57,2.49,323.91,73.47,25.51,10.14,34.0,0.82,134.0,4225.36
Province_13,Farm_30,7.6,4.3,4.0,140.04,28.2,42.39,24.07,5.13,13.52,128.6,2911.89
Province_13,Farm_31,,24.63,,262.14,57.61,46.21,32.72,38.0,19.78,153.92,4019.47
Province_13,Farm_32,8.13,28.97,2.01,99.65,62.17,26.27,22.14,18.64,,106.43,4096.22
Province_13,Farm_33,7.06,1.38,3.65,113.25,28.98,,46.17,16.75,14.97,,3768.43
Province_13,Farm_34,,6.38,2.65,167.97,53.34,49.62,33.77,,,267.19,3749.77
Province_13,Farm_35,8.35,14.17,3.01,114.34,21.06,18.5,19.55,1.68,,252.69,3242.21
Province_14,Farm_1,7.56,23.2,3.9,343.64,31.76,20.63,14.05,9.81,0.79,293.11,3973.73
Province_14,Farm_2,6.56,,2.51,119.75,79.26,43.79,5.65,23.44,16.15,220.87,3493.01
Province_14,Farm_3,,,2.3,374.44,63.08,15.18,9.2,27.71,6.62,264.29,5012.35
Province_14,Farm_4,6.38,,3.1,354.29,62.63,48.99,41.89,14.37,3.66,109.87,3593.62
Province_14,Farm_5,7.48,3.26,3.14,270.21,75.81,23.3,22.92,,,143.94,3949.14
Province_14,Farm_6,,8.96,1.09,,31.85,31.11,40.84,,,,3175.41
Province_14,Farm_7,6.07,29.95,3.33,370.62,60.96,25.01,6.63,4.36,5.95,238.72,4367.61
Province_14,Farm_8,7.57,15.81,3.11,156.53,54.95,32.55,18.57,18.48,9.95,143.43,2910.87
Province_14,Farm_9,6.1,,2.25,115.72,33.34,28.61,34.1,46.79,0.14,167.76,3844.09
Province_14,Farm_10,7.5,7.42,3.59,71.31,65.97,32.73,9.19,34.02,7.67,232.63,3930.66
Province_14,Farm_11,6.22,12.82,3.83,336.65,67.8,,1.24,48.33,3.26,143.07,3462.33
Province_14,Farm_12,8.14,26.65,3.38,99.03,33.72,18.32,25.84,27.89,24.27,155.51,3757.9
Province_14,Farm_13,8.49,4.38,,239.21,29.31,42.18,,16.65,24.6,211.94,3484.1
Province_14,Farm_14,7.46,18.08,3.62,165.26,,44.09,35.69,37.83,,221.51,4134.65
Province_14,Farm_15,7.14,,3.06,111.07,,38.74,25.32,12.24,11.14,297.65,4452.3
Province_14,Farm_16,6.7,4.65,0.68,208.26,59.88,37.6,13.03,25.27,17.16,266.64,4257.87
Province_14,Farm_17,,,2.48,344.58,55.46,,,,18.05,269.78,3746.69
Province_14,Farm_18,7.81,22.18,2.08,355.31,37.46,15.29,25.07,0.73,15.2,197.76,3402.21
Province_14,Farm_19,7.97,20.27,,223.67,52.81,41.99,16.86,12.64,22.16,158.54,3684.95
Province_14,Farm_20,8.33,20.33,,148.99,77.77,45.88,3.49,45.94,7.42,134.24,3392.36
Province_14,Farm_21,6.62,4.04,2.24,339.44,,27.24,15.72,13.32,7.95,275.48,3578.7
Province_14,Farm_22,6.56,25.22,,340.37,66.47,46.83,6.87,,24.46,273.96,4333.91
Province_14,Farm_23,6.37,,2.9,104.41,57.52,27.93,42.99,38.91,16.28,173.1,3758.19
Province_14,Farm_24,8.3,1.93,1.4,170.9,29.7,21.57,33.29,9.13,11.27,190.79,3908.69
Province_14,Farm_25,6.89,5.92,0.96,231.14,62.82,46.47,49.07,18.0,2.21,215.41,3731.84
Province_14,Farm_26,7.11,11.07,3.34,216.02,,21.24,23.96,30.82,11.44,123.16,3456.84
Province_14,Farm_27,7.04,22.48,2.52,148.76,25.86,28.36,38.95,32.38,7.65,287.39,4618.65
Province_14,Farm_28,7.39,8.27,1.59,99.73,75.24,26.3,13.12,23.73,4.02,,4881.79
Province_14,Farm_29,7.19,26.58,,132.33,37.8,34.22,27.38,4.38,10.21,159.34,3326.22
Province_14,Farm_30,,28.67,1.19,93.39,68.54,22.24,,0.86,,242.29,4282.87
Province_14,Farm_31,8.16,4.69,3.44,144.77,56.62,37.35,1.78,4.42,,286.84,4171.26
Province_14,Farm_32,7.08,22.17,3.24,,72.9,43.3,40.9,2.53,17.92,159.64,4056.44
Province_14,Farm_33,7.55,8.97,,236.93,71.54,47.43,40.21,6.84,9.69,,3410.25
Province_14,Farm_34,6.32,,3.33,371.48,65.47,35.71,49.94,,0.16,,4113.88
Province_15,Farm_1,7.51,,,207.2,73.33,14.06,34.06,45.67,1.22,128.16,3952.24
Province_15,Farm_2,6.13,19.24,1.11,112.59,57.46,37.66,31.18,23.69,18.03,244.23,3420.77
Province_15,Farm_3,7.45,20.18,0.86,170.99,55.32,43.43,25.94,41.88,4.07,108.21,4331.2
Province_15,Farm_4,6.82,29.81,0.71,145.0,40.79,43.92,11.84,32.19,15.06,266.81,4056.05
Province_15,Farm_5,6.0,18.46,3.22,144.63,23.67,29.81,22.9,8.53,17.99,298.21,4093.62
Province_15,Farm_6,8.47,16.59,2.3,206.77,71.67,25.22,22.98,27.46,19.6,,3798.87
Province_15,Farm_7,7.16,21.56,1.82,392.4,30.71,18.03,,5.18,3.06,153.29,3925.27
Province_15,Farm_8,,0.31,2.84,237.19,36.44,24.34,18.7,36.76,,267.99,4666.05
Province_15,Farm_9,6.53,9.42,2.51,222.9,40.12,21.6,31.69,23.39,24.84,108.11,3953.95
Province_15,Farm_10,7.49,18.44,2.46,315.83,39.12,13.29,30.2,11.61,18.27,184.8,4139.04
Province_15,Farm_11,8.03,2.89,2.37,306.39,43.48,37.59,4.94,21.24,12.56,269.28,3902.39
Province_15,Farm_12,6.69,26.55,3.29,77.45,,28.32,21.34,45.23,0.26,250.0,3383.06
Province_15,Farm_13,6.04,25.51,2.64,346.63,55.91,24.78,10.16,10.71,24.16,194.95,4184.63
Province_15,Farm_14,7.99,26.51,,387.74,,,37.75,,14.49,279.69,4101.87
Province_15,Farm_15,6.09,25.0,2.34,273.82,51.01,31.13,48.43,46.75,16.6,123.51,3998.31
Province_15,Farm_16,6.85,28.67,1.09,192.44,46.07,21.07,9.97,22.23,13.26,269.72,3271.27
Province_15,Farm_17,7.57,23.6,2.32,132.78,34.88,,11.3,17.69,,203.04,3739.78
Province_15,Farm_18,,12.93,1.34,143.42,67.13,31.89,10.56,12.07,24.8,,3741.82
Province_15,Farm_19,7.25,19.6,1.47,,26.22,27.65,6.24,37.61,12.84,237.95,3907.36
Province_15,Farm_20,8.02,3.27,3.13,206.56,,12.33,46.8,25.5,17.13,129.84,4351.84
Province_15,Farm_21,7.26,5.45,3.54,182.41,70.83,32.37,,33.78,20.66,,4449.85
Province_15,Farm_22,6.69,18.72,0.81,355.01,47.45,,40.59,23.73,22.72,252.87,3123.11
Province_15,Farm_23,8.45,21.16,,328.02,49.47,49.76,49.31,24.89,12.08,284.6,4223.72
Province_15,Farm_24,6.86,20.64,2.84,,32.04,43.09,28.55,4.44,,269.4,5113.94
Province_15,Farm_25,6.46,3.0,2.82,379.83,53.69,,28.26,46.42,17.09,141.04,3350.37
Province_15,Farm_26,6.57,13.1,1.12,227.26,79.64,27.23,,11.95,1.05,100.16,4203.28
Province_15,Farm_27,6.94,29.2,3.69,167.56,43.75,31.72,23.81,22.32,14.17,192.23,4086.74
Province_15,Farm_28,6.41,26.79,2.89,397.5,28.54,48.27,29.45,5.01,15.64,196.41,4810.64
Province_15,Farm_29,,2.15,2.27,320.97,34.98,28.25,0.97,41.17,12.63,121.0,3738.33
Province_15,Farm_30,6.45,23.01,3.46,64.79,46.84,28.63,29.27,0.08,5.8,193.64,4090.43
Province_15,Farm_31,7.49,29.53,0.55,150.37,72.92,31.63,17.66,37.05,,289.37,4061.71
Province_15,Farm_32,7.15,14.66,3.78,205.45,26.61,18.41,29.88,35.58,24.16,112.97,3604.04
Province_15,Farm_33,6.76,12.19,,336.04,38.4,,3.02,8.13,21.34,151.66,3556.35
Province_15,Farm_34,6.48,11.66,1.08,166.23,79.58,28.1,47.65,48.52,23.1,,2524.75
Province_16,Farm_1,7.26,,1.72,192.41,38.98,33.8,3.62,23.22,16.31,248.46,3892.83
Province_16,Farm_2,7.93,12.55,0.61,242.27,53.34,22.37,26.16,14.39,20.63,137.03,3380.51
Province_16,Farm_3,7.46,16.78,3.16,308.98,41.74,14.28,14.08,42.53,21.16,239.54,3893.65
Province_16,Farm_4,7.09,8.8,1.5,124.6,32.8,48.57,30.11,43.36,,,4591.66
Province_16,Farm_5,7.89,7.33,3.61,,75.09,38.57,,,16.04,263.65,4103.57
Province_16,Farm_6,6.26,,3.18,190.51,30.56,36.27,4.35,6.32,12.76,176.23,3875.2
Province_16,Farm_7,6.15,8.08,3.39,222.98,66.97,26.51,25.63,38.76,0.43,134.85,3063.21
Province_16,Farm_8,7.9,13.95,3.7,,79.02,30.94,4.81,48.14,0.38,222.65,3581.3
Province_16,Farm_9,,24.52,2.02,,,34.72,40.13,35.84,,100.55,4882.71
Province_16,Farm_10,8.05,,3.95,301.73,63.36,34.96,,14.22,0.82,252.34,3971.97
Province_16,Farm_11,7.78,16.57,3.75,,25.36,43.62,43.54,28.41,23.88,186.42,3463.27
Province_16,Farm_12,6.32,22.53,1.3,159.04,57.4,47.1,29.97,32.37,13.94,274.47,5017.15
Province_16,Farm_13,6.56,3.59,1.02,122.25,71.8,14.34,48.49,10.49,0.74,148.23,4494.5
Province_16,Farm_14,8.29,25.77,1.2,166.41,69.34,,19.34,47.67,2.49,120.24,3464.18
Province_16,Farm_15,7.44,18.9,,300.35,30.8,,43.7,20.08,,121.81,4500.13
Province_16,Farm_16,8.33,4.59,1.13,80.57,78.39,46.92,,27.23,15.29,114.73,3822.86
Province_16,Farm_17,8.46,27.33,1.07,271.79,30.87,20.39,33.42,26.91,3.56,295.06,4623.16
Province_16,Farm_18,7.67,1.38,2.54,161.67,68.57,13.3,30.06,36.59,3.34,251.75,4207.68
Province_16,Farm_19,7.53,29.01,,334.83,50.48,26.78,35.88,10.49,11.34,124.2,3084.81
Province_16,Farm_20,6.24,6.65,,257.17,66.96,43.48,28.66,42.9,3.1,120.35,3823.85
Province_16,Farm_21,6.79,24.37,,179.54,72.22,30.02,39.85,,,267.5,5221.6
Province_16,Farm_22,7.84,16.04,1.12,271.07,44.25,29.32,,30.22,19.12,167.96,3880.6
Province_16,Farm_23,7.62,4.0,2.31,,61.47,23.9,18.85,26.52,5.68,145.54,3524.5
Province_16,Farm_24,,14.54,1.86,162.89,63.76,26.1,1.04,9.25,11.57,162.88,3426.79
Province_16,Farm_25,6.93,16.33,3.58,341.62,53.79,18.38,,32.06,2.96,121.96,3475.05
Province_16,Farm_26,6.6,6.87,1.46,,47.72,44.26,20.89,17.59,17.77,135.1,3662.42
Province_16,Farm_27,6.62,,1.87,283.04,32.35,35.51,27.27,,21.29,,3975.34
Province_16,Farm_28,6.35,0.08,1.5,275.08,37.37,27.32,5.02,,3.8,124.16,4123.17
